feature_id,section_id,center_lon,center_lat,utm_epsg,target_year_now,target_year_past,now_dataset,now_year_used,now_images_in_year,now_distance_m,now_tree_lon,now_tree_lat,now_line_lon,now_line_lat,now_ntrees,past_dataset,past_year_used,past_images_in_year,past_distance_m,past_tree_lon,past_tree_lat,past_line_lon,past_line_lat,past_ntrees,delta_distance_m
41571,0,-81.0907863110585,34.0197687702572,EPSG:32617,2026,2025,NAIP,2023,1,4.32636104691478,-81.09091455305331,34.0196300697072,-81.09087198532302,34.019613757182576,9,NAIP,2021,1,8.930609429832499,-81.09065733740572,34.01988138173698,-81.09075395788463,34.0198775732867,29,4.604248382917719
41845,177,-80.6245729660883,33.82638097902124,EPSG:32617,2026,2025,NAIP,2023,2,,,,,,0,NAIP,2021,2,,,,,,0,
41910,29,-80.92025481029582,33.888568424531094,EPSG:32617,2026,2025,NAIP,2023,1,1.5917620983013743,-80.91991377834377,33.88849117527528,-80.919921345862,33.88847828068181,15,NAIP,2021,1,12.58253544581864,-80.92026272450245,33.88845325346701,-80.92023065450829,33.88856353958506,14,10.990773347517266
42287,6,-80.88993725388492,33.93042147056272,EPSG:32617,2026,2025,NAIP,2023,1,5.535556770337587,-80.88982059813785,33.93086772226325,-80.88976382211234,33.93085182410443,49,NAIP,2021,1,3.6918360176231895,-80.8898134176357,33.93062419643335,-80.8898512832468,33.930634799400785,61,-1.8437207527143977
42745,3,-81.05461133484056,33.96258690610148,EPSG:32617,2026,2025,NAIP,2023,1,29.82489413718466,-81.05495335446619,33.96265902523195,-81.05469894084989,33.96249344754308,2,NAIP,2021,1,32.08270063849673,-81.05497570872048,33.96266825845736,-81.05470203542843,33.962490146221576,2,2.2578065013120714
43510,19,-81.06085384393329,34.05755086059366,EPSG:32617,2026,2025,NAIP,2023,2,16.961374278543087,-81.06027120960836,34.0576911815106,-81.0602982972434,34.0575398802197,11,NAIP,2021,2,11.378654904784844,-81.06056716887444,34.05764784655589,-81.06057009641393,34.05754525330743,20,-5.582719373758243
43690,19,-80.95217516645008,34.10070312440804,EPSG:32617,2026,2025,NAIP,2023,1,4.361961146763924,-80.9526657662352,34.10056845696961,-80.95264687483211,34.10053239280097,69,NAIP,2021,1,4.425308894225014,-80.95214842750808,34.100668524924096,-80.95216383801647,34.10070632083477,72,0.06334774746109062
44591,17,-81.02486001964726,34.074077133771326,EPSG:32617,2026,2025,NAIP,2023,1,12.055318817346757,-81.02492173138576,34.07418783144756,-81.0249217313614,34.0740791068081,36,NAIP,2021,1,0.3456015320561494,-81.0243458567009,34.07405757602747,-81.02434571288659,34.07406069064404,47,-11.709717285290608
47157,2,-80.96810477833212,34.07604631470097,EPSG:32617,2026,2025,NAIP,2023,1,8.927667749963366,-80.96776525012423,34.075887588223395,-80.96783211746678,34.07582939085649,16,NAIP,2021,1,1.935991937087918,-80.96843253712646,34.076331230887845,-80.96844703749782,34.076318610536916,29,-6.991675812875448
51679,15,-81.03016891392645,34.04269758832515,EPSG:32617,2026,2025,NAIP,2023,1,4.031925151095959,-81.02973076434533,34.04233993504394,-81.02977253687759,34.0423293016343,47,NAIP,2021,1,0.12137028811552533,-81.03017626856449,34.042704937983345,-81.03017516859587,34.04270553776353,83,-3.9105548629804336
